Citation Number,Citation Issued DateTime,Violation,Violation Description,Citation Location,Vehicle Plate State,Vehicle Plate,Fine Amount,Date Added,geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
PD33460770,01/01/2023 08:54:00 PM,V22500F,ON SIDEWLK,2801 SLOAT BLVD,CA,8ZTZ050,216,04/16/2023 12:00:00 AM,,,,,
958422695,01/01/2023 09:02:00 PM,V22500E,DRIVEWAY,2496 26TH AVE,CA,6CSS148,108,02/01/2023 12:00:00 AM,,,,,
958422706,01/01/2023 09:06:00 PM,TRC7.2.25,RED ZONE,2454 30TH AVE,CA,8MBL832,108,03/23/2023 12:00:00 AM,,,,,
958163415,01/01/2023 09:17:00 PM,V22500F,ON SIDEWLK,1717 LYON ST,CA,7ZRV257,108,03/22/2023 12:00:00 AM,,,,,
958163426,01/01/2023 09:37:00 PM,V22500E,DRIVEWAY,725 FELL ST,CA,6NAE072,108,01/18/2023 12:00:00 AM,,,,,
958499183,01/01/2023 09:52:00 PM,H22,PRK PROHIB,61 MOSS ST,CA,9EAR902,23,01/10/2023 12:00:00 AM,,,,,
958422710,01/01/2023 10:12:00 PM,V22500E,DRIVEWAY,2142 44TH AVENUE,CA,8PTW588,108,02/04/2023 12:00:00 AM,,,,,
949794775,01/01/2023 10:17:00 PM,V22500E,DRIVEWAY,138 CERVANTES BOULEVARD,CA,9BAY474,108,01/09/2023 12:00:00 AM,,,,,
949794786,01/01/2023 10:20:00 PM,V22500E,DRIVEWAY,132 CERVANTES BOULEVARD,CA,9DRL962,108,02/05/2023 12:00:00 AM,,,,,
958031292,01/01/2023 10:42:00 PM,V22500E,DRIVEWAY,266 UPPER TERRACE,CA,9BBF351,108,04/04/2023 12:00:00 AM,,,,,
958031303,01/01/2023 10:43:00 PM,V5200,NO PLATES,266 UPPER TERRACE,CA,9BBF351,121,04/04/2023 12:00:00 AM,,,,,
949794790,01/01/2023 10:49:00 PM,V22500E,DRIVEWAY,1440 SUTTER ST,CA,8ELU497,108,01/27/2023 12:00:00 AM,,,,,
958499205,01/01/2023 11:02:00 PM,V22500E,DRIVEWAY,50 JOICE ST,CA,8XWY136,108,01/10/2023 12:00:00 AM,,,,,
958031314,01/01/2023 11:05:00 PM,V22500F,ON SIDEWLK,2816 23RD STREET,CA,42478F2,108,04/09/2023 12:00:00 AM,,,,,
958499216,01/01/2023 11:07:00 PM,TRC7.2.41,PK PHB OTD,50 JOICE ST,CA,8XWY136,108,01/09/2023 12:00:00 AM,,,,,
958031325,01/01/2023 11:08:00 PM,V4000A,NO EV REG,2816 23RD STREET,CA,42478F2,209,04/09/2023 12:00:00 AM,,,,,
958453915,01/02/2023 01:05:00 AM,TRC7.2.22,STR CLEAN,535 EMBARCADERO SOUTH,CA,BP22A66,87,05/07/2023 12:00:00 AM,,,,,
958453926,01/02/2023 02:03:00 AM,TRC7.2.22,STR CLEAN,1125 MISSION ST,CA,8XTH406,87,04/04/2023 12:00:00 AM,,,,,
958453930,01/02/2023 02:04:00 AM,TRC7.2.22,STR CLEAN,1125 MISSION ST,CA,7NCE104,87,02/13/2023 12:00:00 AM,,,,,